Compound: TPCN03141
SMILES:   C=C1C2C(OC(=O)c3ccccc3)C8C4N(C)C5C(O)C8(C1OC(C)=O)C(C2OC(C)=O)C46C(OC(C)=O)C(OC(=O)c7ccccc7)C(OC(C)=O)C(C)(C=O)C56

All beads
--------------------------------------------------------------------------------
index    bead_type  atoms_idx            atoms_elem           #conns       mass     x        y        z       
0        SC4        0,1,21               C,C,C                3            54.0     -0.4154  -0.1709  -0.1844 
1        TC3        2,3                  C,C                  4            36.0     -0.3241  -0.0606  -0.0065 
2        SN4a       4,5,6                O,C,O                2            54.0     -0.2788  -0.0355  0.2619  
3        TC5        7,8                  c,c                  3            36.0     -0.2202  0.1040   0.4445  
4        TC5        9,10                 c,c                  2            36.0     -0.1527  0.2646   0.5625  
5        TC5        11,12                c,c                  2            36.0     -0.1484  0.2796   0.3534  
6        TC5        13,20                C,C                  5            36.0     -0.1939  -0.2253  -0.0358 
7        SC4        14,15,16             C,N,C                3            54.0     -0.0298  -0.3023  0.1214  
8        SN6        17,18,19,57          C,C,O,C              4            54.0     0.0033   -0.3302  -0.1284 
9        SP2        22,23,24,25          O,C,C,O              1            54.0     -0.3533  -0.3435  -0.4218 
10       SC3        26,27,32             C,C,C                6            54.0     -0.1023  -0.0668  -0.1071 
11       SP2        28,29,30,31          O,C,C,O              1            54.0     -0.2923  0.1820   -0.3090 
12       SN6        33,34,38             C,O,C                4            54.0     0.1150   0.0535   -0.0189 
13       SN4a       35,36,37             C,C,O                1            54.0     0.0704   0.2896   -0.1465 
14       SN4a       39,40,41             O,C,O                2            54.0     0.1973   0.1848   0.2062  
15       TC5        42,43                c,c                  3            36.0     0.3056   0.3924   0.1901  
16       TC5        44,45                c,c                  2            36.0     0.3815   0.5863   0.2204  
17       TC5        46,47                c,c                  2            36.0     0.2518   0.5017   0.3613  
18       N6         48,49,53,54          C,O,C,C              4            72.0     0.3395   -0.1368  -0.0340 
19       SN4a       50,51,52             C,C,O                1            54.0     0.5918   0.0038   -0.0385 
20       TN4a       55,56                C,O                  1            36.0     0.2945   -0.3323  0.1049  

Bead connections
--------------------------------------------------------------------------------
index    to_idx   bond    
0        1        1.0     
0        6        1.0     
0        9        1.0     
1        2        1.0     
1        6        1.0     
1        10       1.0     
2        3        1.0     
3        4        1.5     
3        5        1.5     
4        5        1.5     
6        7        1.0     
6        8        1.0     
6        10       1.0     
7        8        1.0     
7        10       1.0     
8        10       1.0     
8        18       1.0     
10       11       1.0     
10       12       1.0     
12       13       1.0     
12       14       1.0     
12       18       1.0     
14       15       1.0     
15       16       1.5     
15       17       1.5     
16       17       1.5     
18       19       1.0     
18       20       1.0     
